,date,content,score,version,thumbs,,,,,,,,,
1513,2021-09-14 00:34:51,"Não consigo cadastrar uma nova senha, na opção de envio do código vai para o email mas não chega nada, nem na caixa de spam. Diz que o usuário esta bloqueado e direciona para o site que está sempre indisponível. Péssimo, uma decepção.",1,2.2.0,0,,,,,,,,,
1514,2021-09-14 00:30:29,Aplicativo péssimo!! Não consigo fazer a biometria de forma alguma. Simplesmente péssimo!!!,1,2.2.0,0,,,,,,,,,
1517,2021-09-13 23:44:14,Boa noite...não reconheço o email cadastrado e nem o celular... Faço o reconhecimento facial...mas mando o código para o email...oque fazer...não lê o qrcode da carta de habilitação...???,1,2.2.0,0,,,,,,,,,
1518,2021-09-13 23:27:20,"confirmação biométrica com muitas dificuldades e m concluir, devido o aplicativo não identificar",1,2.2.0,0,,,,,,,,,
1519,2021-09-13 22:47:08,Não merece nem uma estrela. uma coisa horrorosa! Se precisar revalidar senha não mais farei. app lixo!,1,2.2.0,0,,,,,,,,,
1520,2021-09-13 22:18:34,O reconhecimento facial não funciona. Fiz e refiz por diversas vezes. Tá na hora de ajustar,1,2.2.0,0,,,,,,,,,
1521,2021-09-13 21:55:45,Que aplicativo horrível!!! Não funciona. Fiquei a tarde todo tentando acessar e não válida a foto. Muito ruim.,1,2.2.0,0,,,,,,,,,
1522,2021-09-13 20:55:22,App pede data de emissão de CNH que já expirou!! Minha mãe não dirige a mais de 20 anos!! Nem tem mais CNH e nem sei onde consegui este número on line. Gênio da segurança da informação quem pensou nisso,1,2.2.0,0,,,,,,,,,
1524,2021-09-13 20:23:05,"Não consigo alterar o email, já aparece que meu CPF está cadastrado num email que não é meu, o que fazer?",1,2.2.0,0,,,,,,,,,
1525,2021-09-13 20:09:24,Não reconhece minha biometria,1,2.2.0,0,,,,,,,,,
1526,2021-09-13 19:29:26,"Já liguei cerca de 3X no 0800 informado pelo site do Gov.br, relatando o mesmo problema: não recebo o código de verificação em 2 etapas do app de jeito nenhum!! Não existem erros nos dados informados e já tentei desinstalar e instalar o app sem sucesso. Decepcionado com o app.",1,2.2.0,0,,,,,,,,,
1527,2021-09-13 19:08:01,Nao to conseguindo abaixar o aplicativo,1,2.2.0,0,,,,,,,,,
1528,2021-09-13 19:05:06,"Uma grande, imensa e verdadeira B O S T A....",1,2.2.0,0,,,,,,,,,
1531,2021-09-13 17:33:00,lixo complicado,1,2.1.8,0,,,,,,,,,
1532,2021-09-13 17:05:13,Não consegui a prova de vida,1,2.2.0,0,,,,,,,,,
1533,2021-09-13 16:28:12,"APP tá horrível... Só consegue entrar no aplicativo se tiver CNH...e quem não tem? Infelizmente, tudo fica atrelado a ele, e a gente não consegue fazer mais nada. Preciso agendar emissão de 2ª via de RG, e tenho que entrar num aplicativo que não funciona para todos. Dizem que pode ser acessado pelo título de eleitor, mas não tem opção. Já atualizei o aplicativo várias vezes no celular, e nem pelo site consigo entrar.",1,2.2.0,43,,,,,,,,,
1534,2021-09-13 16:01:45,"Quero meu dinheiro de volta, eu psguei a taxa fiz tudo que pediram ,mais fui feita de besta,esse aplicativo por biometria facial é um engano nunca abri fiz mais de mil tentativas,é muito mais fácil pagar um contador infelizmente só percebi quando ja tinha pagado essa taxa absurda,quero meu dinheiro de volta vou acionar a justiça.",1,2.2.0,0,,,,,,,,,
1535,2021-09-13 15:51:29,"Eu não recebo o cód de validação por SMS após alterar a senha para confirmar a senha recebida por email, Por favor preciso de uma solução já enviei outro email para vcs com dados e aguardo resposta só porque Troquei o aparelho para um moto g 5g já tentei por diversas vezes e solicita cód enviado para o celular mais não chega o abençoado cód de jeito nenhum, e agora não consigo mais acessar nada do meu gov.br , minha CNH, INSS , RG etc e dependo da CNH no celular por favor me ajudem urgente",1,2.2.0,3,,,,,,,,,
1536,2021-09-13 15:32:00,Não funciona 😡,1,2.2.0,0,,,,,,,,,
1537,2021-09-13 15:31:31,Um lixo. Sempre dá erro a validação facial,1,2.2.0,0,,,,,,,,,
1538,2021-09-13 14:35:56,Lixo de reconhecimento facial!,1,2.2.0,0,,,,,,,,,
1539,2021-09-13 14:30:40,Reconhecimento facial não funciona. Tentei diversas vezes seguindo todas as dicas de uso e nada.,1,2.2.0,0,,,,,,,,,
1540,2021-09-13 14:16:33,Não çonsigo recuperar.senha.,1,2.2.0,0,,,,,,,,,
1541,2021-09-13 14:06:43,"Uma droga, tava tentando fazer a validação facial mas não dá certo de jeito algum e não tem essa de ambiente iluminado não já fiz de tudo já fui no quintal na sala na cozinha no quarto e nada disso funcionar aí a pessoa precisa disso e nem assim serve para o propósito uma droga péssimo de verdade mesmo na boa é uma droga.",1,2.2.0,0,,,,,,,,,
1542,2021-09-13 13:37:42,"Não avança, fiz os procedimentos. Dados biométrico, fotos ou dados estão incorretos.",1,2.2.0,0,,,,,,,,,
1545,2021-09-13 12:40:36,Depois de várias tentativas não consegui realizar a biometria.,1,2.2.0,0,,,,,,,,,
1546,2021-09-13 12:02:34,Coloquei pq e péssimo pois não faz o reconhecimento facial,1,2.2.0,0,,,,,,,,,
1547,2021-09-13 09:51:14,"Já tentei várias vezes validar o acesso por reconhecimento facial e n vai, deveria colocar outra opção!",1,2.2.0,0,,,,,,,,,
1548,2021-09-13 06:41:52,"Estou com dificuldades pra fazer prova de vida, fui agência bancária cx econômica por duas vezes não consegui, alegaram que somente pra aposentados do INSS, tentei por outros meios também não, por favor preciso urgente fazer recadastramento do meu irmão me informem algum número pra eu ligar ou alguma agência sou leiga no assunto não possuo notebook somente celular, nem por meio do cx eletrônico deu certo obrigada por atenção",1,2.2.0,0,,,,,,,,,
1549,2021-09-13 03:46:11,Não me reconhece por nada,1,2.2.0,0,,,,,,,,,
1550,2021-09-13 03:09:44,Que sistema horrível de verificação por dados faciais,1,2.2.0,0,,,,,,,,,
1551,2021-09-13 02:13:23,"toda vez que vai acessar tem que fazer verificação facial, resumo é que não presta.",1,2.2.0,0,,,,,,,,,
1552,2021-09-13 01:55:44,"Não funciona o reconhecimento fácil ja tentei com câmera traseira com luz adicional e não vai. E não adianta voces responderem não entendi oque você falou, ou algumas pessoas conseguiram, ou fique tentando, tem que ser fumcional a todos ou tira o recurso de uma uma vez, por favor.",1,2.2.0,0,,,,,,,,,
1553,2021-09-13 01:47:55,"HÁ MESES TENTO RECUPERAR MINHA SENHA DE ACESSO, INFELIZMENTE SEM SUCESSO. RECONHECIMENTO FACIL NÃO FUNCIONA, NÚMERO DE TELEFONE CADASTRADO NUNCA NEM VI. LAMENTÁVEL, AS ÚNICAS PASTAS QUE FUNCIONAM NO GOVERNO SÃO AS DE COBRANÇAS DE IMPOSTOS, OUTRAS, SÃO DEPLORÁVEIS.",1,2.2.0,0,,,,,,,,,
1554,2021-09-13 00:41:52,"Meu pai está com problemas no login um e-mail que desconhecemos e não conseguimos nem cadastrar nova senha via reconhecimento facial pq envia um código para um e-mail, uma conta que não temos acesso, podem nos ajudar, posso entrar em contato via e-mail qual endereço? No aguardo, obrigado.",1,2.2.0,0,,,,,,,,,
1555,2021-09-12 22:40:24,"As opcoes são CNH Titulo de Eleitor, mas só abre a opção CNH. Só tenho titulo e não me dão outra opção.",1,2.2.0,0,,,,,,,,,
1556,2021-09-12 22:15:20,"péssimo, uma pessoa idosa não dá conta de acessar sozinha. palhaçada",1,2.2.0,0,,,,,,,,,
1557,2021-09-12 21:58:38,"Suspeito de fraude, tentei realizar os cadastros dos meus pais e de ambos consta que já existe cadastro, porém nunca foi feito o cadastro, os e-mails e os números de telefones que informam para recuperar senha são completamente desconhecidos, também não consigo contato com o suporte informado no app, estamos sem nenhuma orientação do que fazer neste caso.",1,2.2.0,0,,,,,,,,,
1558,2021-09-12 18:48:03,Péssimo.,1,2.2.0,0,,,,,,,,,
1559,2021-09-12 18:39:44,Leitor facial não funciona com câmeras que não tem muita definição. Ignorando realidade brasileira. Estou usando um moto E 6 plus.,1,2.2.0,0,,,,,,,,,
1560,2021-09-12 18:09:03,"Horrível, horrível, horrível! Eles pedem a data da carteira de habilitação. Mais eu nunca tirei carteira de habilitação. O app não completa o cadastro sem a carteira de habilitação. E agora? Então não vou conseguir fazer minha carteira do artesão. Só isso.",1,2.2.0,0,,,,,,,,,
1561,2021-09-12 15:29:56,"App horrível, essa validação facial é um lixo. Muito mal feita",1,2.2.0,0,,,,,,,,,
1562,2021-09-12 14:42:08,boa,1,2.2.0,0,,,,,,,,,
1563,2021-09-12 14:29:49,bom,1,2.2.0,0,,,,,,,,,
1564,2021-09-12 14:28:18,Muito ruim quer validar pela CNH sendo que nem motorista eu sou não tenho CNH,1,2.2.0,0,,,,,,,,,
1565,2021-09-12 13:34:04,Mto ruim estou tentando vários dias diversas vezes e não consigo entrar no app. Pq não consigo validar a biometria já tentei diversas formas mas não valida. A foto,1,2.2.0,0,,,,,,,,,
1567,2021-09-12 10:30:25,Péssimo app. Não consigo fazer a validação facial. Informa que a foto ou os dados não são válidos. Deveria ter outra forma de autenticação já que acham minha foto tanto no titulo de eleitor quanto na CNH diferentes da minha fisionomia atual. Com isso vou ter que ir pessoalmente fazer minha prova de vida. Essa é a avaliação que fiz e depois de me mandarem a resposta por email apagaram. Continua péssimo. M e falaram pra continuar tentando. Fiz dezenas de vezes e essa validação não funciona.,1,2.2.0,1,,,,,,,,,
1569,2021-09-11 20:58:13,"Boa tarde,fiz todo o processo mais solicita a data de emissão da CNH não possuo CNH,não aparece nenhum campo para por o título de eleitor consta nas informações que a validação é feita pelo título eleitor ou CNH,ou estou fazendo errado, obrigada.",1,2.2.0,0,,,,,,,,,
1570,2021-09-11 16:14:25,"São várias tentativas, só aparecem validação biometrica não encontrada.",1,2.2.0,0,,,,,,,,,
1571,2021-09-11 15:16:42,"Não funciona no meu celular Asus, assim como os demais aplicativos do governo.",1,2.2.0,0,,,,,,,,,
1572,2021-09-11 13:03:17,Validação Facial dificilmente funciona. Certificado digital na nuvem não funciona.,1,2.2.0,0,,,,,,,,,
1574,2021-09-11 10:53:58,péssimo,1,2.2.0,0,,,,,,,,,
1575,2021-09-11 03:47:27,"Aplicativo horrível, sempre dá errado a facial",1,2.2.0,0,,,,,,,,,
1576,2021-09-10 22:16:47,"Infelizmente não funciona o reconhecimento facial, mude para digital este facial e péssimo de se fazer nunca aceita as posições e muito difícil conseguir acertar, eu não consegui, a sexta feira inteira tentando, péssimo Apps. Fui obrigado a colocar uma estrela que não merece.",1,2.2.0,6,,,,,,,,,
1577,2021-09-10 21:38:22,"A foto de verificação não valida. Já troquei de aparelho, fui até em estudio fotografico para uma melhor iluminação, porém informa que a foto não foi validada.",1,2.2.0,0,,,,,,,,,
1580,2021-09-10 20:03:44,complicado,1,2.2.0,0,,,,,,,,,
1581,2021-09-10 18:26:38,"Não consigo concluir a validação facial , diz que vai mandar um código pro meu celular porém o número não condiz com o meu , coloco o CPF pra criar a conta e diz que o CPF já é cadastrado , como se eu não criei nada , horrível , horas tentando a toa 😡",1,2.2.0,0,,,,,,,,,
1582,2021-09-10 17:52:00,Não consigo abrir o aplicativo,1,2.2.0,0,,,,,,,,,
1583,2021-09-10 16:58:00,"Meu pai já tem quase 70 anos, nunca fez cadastro nesse app. Hoje eu(filho) tentei fazer o cadastro dele e já havia um cadastro com um e-mail que eu nunca vi. Tentei recuperar a conta pela visualização facial, já que pelo e-mail não posso e pelo outros ele não se encaixa. O modelo facial não funciona. O nível dos desenvolvedores que são responsáveis por esse app é muito baixo. Pelo amor de Deus, façam teste nos métodos, funções antes de subir a versão para produção.",1,2.2.0,0,,,,,,,,,
1584,2021-09-10 16:19:35,"fiz tudo que o aplicativo pediu, tudo estava certo e ele não envia a mensagem. aplicativo inútil.",1,2.2.0,0,,,,,,,,,
1585,2021-09-10 16:12:43,Como assim só pra quem tem CNH???isso é uma vergonha!,1,2.2.0,0,,,,,,,,,
1586,2021-09-10 15:59:09,"Horrível, validação fácil não funciona. Exige que faça os movimentos lentamente. Nunca reconhece e o tempo acaba.",1,2.2.0,0,,,,,,,,,
1587,2021-09-10 15:50:52,"Como absolutamente tudo que é estatal nesse país, este app é uma decepção completa. A validação facial não funciona por nenhum motivo, não há alertas de erro e você só percebe que foi feito de palhaço no final do processo. Já fiz mais de dez tentativas através desse sistema, e mesmo tendo biometria coletada junto ao TSE e DENATRAN, é impossível fazer login no app. Pelo menos adicionem a opção de validação por certificado digital, se não pretendem consertar o reconhecimento biométrico.",1,2.2.0,286,,,,,,,,,
1589,2021-09-10 15:30:08,Muito ruim. O teste biométrico não funciona.,1,2.2.0,0,,,,,,,,,
1590,2021-09-10 15:05:31,"Estranho,estou tentando entrar no perfil de minha filha menor de idade e pedem ,CNH !! Sem casdastro,não consigo fazer a id estudantil !!",1,2.2.0,0,,,,,,,,,
1591,2021-09-10 15:04:16,Ruin,1,2.2.0,0,,,,,,,,,
1592,2021-09-10 14:58:36,Ontem dia 9/9 dei 1 estrela e apaguei após questionamento dos criadores do app no meu email. E ontem mesmo depois disso ocorrer fiz diversas tentativas pra ver se eu conseguiria cadastrar por este aplicativo e não consegui e como hoje dia 10/9 também por diversas vezes tentei não consegui.Apos ver as resenhas de outras pessoas comentários semelhantes aos meus.Entao me convenci que eu estou certo que este aplicativo de vcs não é bom e por isso resolvi deixar de tentar,1,2.2.0,0,,,,,,,,,
1593,2021-09-10 14:49:59,Um lixo. Não funciona. Não é possível realizar o cadastramento facial. Não há como manter contato com o operador do app. Acabou com o app sigepe para dificultar a vida do aposentado!,1,2.1.6,0,,,,,,,,,
1594,2021-09-10 14:25:02,muito difícil,1,2.2.0,0,,,,,,,,,
1595,2021-09-10 14:23:15,não concordo minha foto/dados serem divulgados.,1,2.2.0,0,,,,,,,,,
1596,2021-09-10 14:17:24,Não funciona Diz não reconhece a biometria que não é possível validar,1,2.2.0,0,,,,,,,,,
1597,2021-09-10 13:20:58,O processo da foto é desgastante e precisa de outra pessoa!,1,2.2.0,0,,,,,,,,,
1598,2021-09-10 13:15:46,"Tá tudo certo e não consigo entrar,preciso abrir meu p trabalhar e o reconhecimento facial nao entra ! NÃO FUNCIONA !!",1,2.2.0,0,,,,,,,,,
1599,2021-09-10 12:06:19,bom,1,2.2.0,0,,,,,,,,,
1600,2021-09-10 11:18:10,"Só permite o acesso se colocar o número da carteira de motorista, pra fazer o reconhecimento facial, mas eu não tenho e não consigo acessar. Melhorem isso!",1,2.2.0,0,,,,,,,,,
1601,2021-09-10 11:05:43,Não está funcionando a biometria facial estou enfrentando muita dificuldades,1,2.2.0,0,,,,,,,,,
1602,2021-09-10 04:20:39,"Se pudesse dar menos de 1 estrela eu daria, to tentando fazer a prova de vida da minha mãe que recebe o loas e nunca consigo fazer a parte do reconhecimento facial, eu tentei milhares de vezes e nunca deu sempre dá erro, vou ter que ir no banco mesmo com minha mãe que não pode nem andar direito tem dificuldades fisicas, melhorem isso logo!",1,2.2.0,0,,,,,,,,,
1604,2021-09-10 02:22:36,Péssimo. Minha conta está logada e quando tendo redefinir a senha não é o meu email,1,2.2.0,0,,,,,,,,,
1605,2021-09-10 02:03:34,"A escola diz que minha CNH está pronta , mas não consegui baixar a CNH , se está pronta por quê não aparece aqui no aplicativo , pede o QRCODE , UM ANO E MEIO PRA TIRAR UMA CARTEIRA DE MOTORISTA QUE SERVIÇO RUIM ESSE DO DETRAN.",1,2.2.0,0,,,,,,,,,
1606,2021-09-10 01:50:29,Reconhecimento facial não funciona! Sacanagem,1,2.2.0,0,,,,,,,,,
1607,2021-09-10 01:26:32,"O aplicativo é muito ruim para buscar qq informação, para reconhecimento facial é horrível fiquei muito tempo as muito tempo mesmo para conseguir fazer o reconhecimento facial, precisa ter muita paciência e tempo p realiza-lo descreveria que é para desistir de utilizar o App.",1,2.2.0,1,,,,,,,,,
1608,2021-09-10 01:22:45,bem ruim ...,1,2.1.45,0,,,,,,,,,
1609,2021-09-10 00:42:50,No samsung A50 autentica. No samsung s8 não. Estou sem acesso:(,1,2.2.0,0,,,,,,,,,
1610,2021-09-09 23:59:12,Baixei o APP mas não há opções na barra. Só aparece meu CPF. Nada mais.,1,2.2.0,0,,,,,,,,,
1612,2021-09-09 23:05:56,"Já cadastrei ,e tava tudo certo ,agora fui entrar e aparace que minha conta está bloqueada ,coloco esqueci minha senha e nao aparece a opção de email que já avia cadastrado ,toda vez que vou logar é isso ,sempre da problema no login...",1,2.2.0,0,,,,,,,,,
1613,2021-09-09 22:16:54,"Pouco funcional. Permite recuperar a senha, porém o processo de validação facial é FALHO! Se querem inovar, tem que garantir funcionalidade! Não adianta colocar um processo moderno como esse e o aplicativo não conseguir calcular os movimentos. Ficamos aguardando ajustes. Edit: o desenvolvedor deveria ter vergonha de responder que é necessário várias tentativas para realizar um processo na plataforma. Isso só comprova que o app tem erros primários e não é adequado.",1,2.2.0,232,,,,,,,,,
1616,2021-09-09 21:58:58,"Amigos, estou tentando acessar o APP da carteira de trabalho e não consigo pois na validação do Gov BR, não recebo o SMS com o código, sendo que no passado eu recebia, não troquei de número e recebo SMS de outras fontes normalmente... como proceder?",1,2.2.0,0,,,,,,,,,
1617,2021-09-09 21:43:00,"Muito complexo, não recomendo.",1,2.2.0,0,,,,,,,,,
1619,2021-09-09 21:17:00,Não consigo nem logar pq a biometria fica dando falha,1,2.2.0,0,,,,,,,,,
1620,2021-09-09 21:06:36,nao e funcional,1,2.2.0,0,,,,,,,,,
1622,2021-09-09 20:40:03,Não funciona a validação facial pessimo deveria fazer validação com outras opções,1,2.2.0,0,,,,,,,,,
1623,2021-09-09 19:39:08,Biometria nunca funciona,1,2.2.0,0,,,,,,,,,
1624,2021-09-09 19:13:31,"Pior impossível, se eu fosse o desenvolvedor desse aplicativo eu teria vergonha do que eu tinha feito... nada presta nada funciona um lixo",1,2.2.0,0,,,,,,,,,
1625,2021-09-09 17:46:45,"Inútil, primeira dado para validação é CNH, pessoa idosa não tem CNH. Se o governo se propõe a fazer um sistema para o cidadão não pode ter uma limitação dessa, descaso ou pura incompetência?",1,2.2.0,0,,,,,,,,,
1626,2021-09-09 17:06:52,muito bom,1,2.2.0,0,,,,,,,,,
1627,2021-09-09 16:58:48,Não consigo finalizar. Existe um e-mail inválido no meu app meu INSS. E não consigo arrumar,1,2.2.0,0,,,,,,,,,
1629,2021-09-09 16:30:29,"Sempre no final da verificação da erro na biometria ou no cadastro , aí tem que fazer tudo dnv , já tentei umas 10 vzs e nunca consigo",1,2.2.0,0,,,,,,,,,
1630,2021-09-09 15:43:26,validação facial pessima !,1,2.2.0,0,,,,,,,,,
1631,2021-09-09 14:59:28,complicado,1,2.2.0,0,,,,,,,,,
1632,2021-09-09 14:56:43,"Continuo não conseguindo fazer o login, não consigo passar pela parte da biometria, não reconhece, muitas vezes tentando e nada, e não há outra opção para logar? Deveria ter uma outra opção.",1,2.2.0,0,,,,,,,,,
1633,2021-09-09 14:38:17,validação facial um strees total,1,2.2.0,0,,,,,,,,,
1634,2021-09-09 14:32:13,"Não consigo realizar o cadastro, pois o email para o qual é enviada o código de cadastro não é meu.",1,2.2.0,0,,,,,,,,,
1635,2021-09-09 13:55:00,não tenho mais o mesmo número e insistem nele,1,2.2.0,0,,,,,,,,,
1636,2021-09-09 13:52:18,"Esse aplicativo nao funciona, simplesmente enganação!!!",1,2.2.0,0,,,,,,,,,
1637,2021-09-09 13:22:10,"Não consigo acessar, da erro na biometria, e não tem nenhum outro recurso pra entrar em contato.",1,2.2.0,0,,,,,,,,,
1638,2021-09-09 12:38:18,não funcionou o envio da foto para comprovação e vida,1,2.2.0,0,,,,,,,,,
1639,2021-09-09 12:15:37,Essa validação fácil é intrusiva e desnecessária.,1,2.2.0,0,,,,,,,,,
1640,2021-09-09 12:14:31,Infelizmente não consegui passar da leitura facial esta dando erro direto!!!,1,2.2.0,0,,,,,,,,,
1641,2021-09-09 11:28:08,"Péssima aplicativo, quando vou acessar tanto o meu gov quanto a CNH digital diz que eu já tenho cadastro, quando tento recuperar a senha só dá erro de autenticação. Como a pessoa usa esses benditos apps se até para conversar com algum assistente virtual dá erro?",1,2.2.0,0,,,,,,,,,
1642,2021-09-09 11:13:00,"Péssimo apps , não dá certo o reconhecimento fácial , já tentei de todas as formas e não dá certo , e estou precisando urgente de finalizar esse cadastro... Espero te uma resposta e uma forma que terminar esse processo",1,2.2.0,1,,,,,,,,,
1643,2021-09-09 07:27:51,"Péssimo, pois não consigo fazer a validação facial, desinstalando",1,2.1.6,0,,,,,,,,,
1644,2021-09-09 05:36:42,lixo de aplicativo,1,2.2.0,0,,,,,,,,,
1645,2021-09-09 02:53:12,"Tentei redefinir senha é sempre da erro, péssimo",1,2.2.0,0,,,,,,,,,
1646,2021-09-09 01:40:32,Troquei de celular e não lembro minha senha como faço para recadastrar outra?,1,2.2.0,0,,,,,,,,,
1647,2021-09-09 01:37:37,"Eu quero obter o meu comprovante de vacinação mas ñ consigo.já fiz de tudo e mais um pouco. Não consigo nem facial,nem Cpf. Aparece um erro que não entendo.",1,2.2.0,0,,,,,,,,,
1648,2021-09-09 01:16:59,"Não foi possível autorizar seu acesso, verifique suas credenciais e tente novamente. Não abre só aparece está mensagem",1,2.2.0,0,,,,,,,,,
1649,2021-09-08 21:37:51,não consegui realizar o acesso e o inicio do e-mail não reconheço,1,2.2.0,0,,,,,,,,,
1650,2021-09-08 21:02:17,não consigo validar meu rosto,1,2.2.0,0,,,,,,,,,
1651,2021-09-08 20:18:42,depois de varios dias tentando conseguir cadastrar a senha facial.,1,2.2.0,0,,,,,,,,,
1652,2021-09-08 19:44:25,Não funciona corretamente a biometria facial . Já tentei umas 20 vezes e da erro com qualquer uma das câmeras .,1,2.2.0,0,,,,,,,,,
1653,2021-09-08 19:33:13,um lixo. Só uso porque sou obrigado.,1,2.2.0,0,,,,,,,,,
1654,2021-09-08 19:30:29,demora muito,1,2.2.0,0,,,,,,,,,
1655,2021-09-08 19:24:19,"Ao tentar fazer resgate de senha, desconheço o telefone cadastrado tentei fazer por identificaçao facial e da erro ao clicar em entrar em contato e em avançar nada acontece...",1,2.2.0,0,,,,,,,,,
1656,2021-09-08 18:17:00,Biometria facial não pega.,1,2.2.0,0,,,,,,,,,
1657,2021-09-08 17:39:32,Toda vez da biometria errada!,1,2.2.0,0,,,,,,,,,
1658,2021-09-08 16:39:17,Esse negócio de validação facial é um saco não dá tempo de fazer pois o aplicativo não fala o que tem que fazer é vc fica com o celular na cara e não consegue ver o que o aplicativo pede,1,2.2.0,0,,,,,,,,,
1659,2021-09-08 15:10:29,"Ruim não consigo tirar foto e nem a direita e nem a esquerda,",1,2.2.0,0,,,,,,,,,
1660,2021-09-08 14:12:43,Experiência horrível tudo que é do governo não presta lixo de aplicativo 😔 fazem agente de palhaço 😤,1,2.2.0,0,,,,,,,,,
1661,2021-09-08 14:07:35,"Gente o mundo digital veio pra melhorar nossas termina complicado ainda mais, não fazer meu cadastro no governo.br diz que já tenho conta sem eu nunca ter feito coloco meu CPF e coloco esqueci a senha pra ver se acesso e nada, não consigo fazer carteira digital manda eu ir pro governo.br",1,2.2.0,0,,,,,,,,,
1662,2021-09-08 14:00:03,Um aplicativo que era pra facilitar a vida tem muitos passos que várias pessoas não conseguiriam se virar pra fazer. Melhorem.,1,2.2.0,0,,,,,,,,,
1663,2021-09-08 13:27:13,"Horrivel, autenticação não funciona, dias tentando fazer! Tmc!!!!!",1,2.2.0,0,,,,,,,,,
1664,2021-09-08 13:00:11,Nao consigo assesar o suporte o app nao da outras opções para mudar a senha horrível ageitem isso.,1,2.2.0,0,,,,,,,,,
1665,2021-09-08 12:37:32,Alguém consseguiu fazer o reconhecimento facial? Eu não consigo nem a pau .😤,1,2.2.0,0,,,,,,,,,
1666,2021-09-08 12:04:13,Estou com problemas na verificação em 2 etapas o código não chega,1,2.2.0,0,,,,,,,,,
1668,2021-09-08 04:09:48,"Como vai entrar num app desse que pede pra gente olhar pra frente e piscar e não dar certo nunca, e outra não sei pra que essa baboseira, já não tenho minha senha do Meu Gov!!",1,2.2.0,0,,,,,,,,,
1669,2021-09-08 03:16:53,Não consigo cadastrar meu rosto,1,2.2.0,0,,,,,,,,,
1670,2021-09-08 02:00:39,"O aplicativo pede CNH, sendo q n possuo, e n tem outras opçoes",1,2.2.0,0,,,,,,,,,
1671,2021-09-08 01:22:04,Usaram meus dados e de alguma forma conseguiram fazer um cadastro. E-mail e número de celular que estão lá são desconhecidos para mim. Agora não posso usar nenhum serviço que depende desse gov.br. E não há nenhum meio onde eu possa corrigir isso. Já tentei contato e de nada adianta. Atualizando. Consegui na caixa refazer a senha agora pede autenticação facial de CNH não tenho CNH. Pior sistema pro pior pais. Só burocracia sem necessidade. Que ódio.,1,2.2.0,0,,,,,,,,,
1672,2021-09-08 00:27:38,Não funciona. Simplesmente.,1,2.2.0,0,,,,,,,,,
1673,2021-09-07 23:44:56,"Erro de autenticação, não consigo fazer reconhecimento facial, tenho TITULO e CNH digital. Lamentável!",1,2.2.0,0,,,,,,,,,
1676,2021-09-07 18:50:30,"E quem não dirige, está isento de fazer o cadastro facial? Pois eu tenho 65 anos e nunca dirigi na minha vida. Quando você abre o aplicativo, caso não tenha a Carteira de motorista, não consegue ir para a proxima faze.",1,2.2.0,0,,,,,,,,,
1678,2021-09-07 15:07:21,Muito confuso. Ah tempos estou tentando recuperar senha e não consigo. Nada que vem do governo presta.,1,2.2.0,0,,,,,,,,,
1679,2021-09-07 14:17:20,A validação facial não funciona Péssimo nota zero.,1,2.2.0,0,,,,,,,,,
1680,2021-09-07 13:04:51,"Sozinho é impossível cadastrar a a foto, principalmente para quem tem que usar óculos, pois o áudio é diferente do que aparece escrito",1,2.2.0,0,,,,,,,,,
1681,2021-09-07 13:03:30,Caramba gastei 30 min e 72 % do minha bateria para conseguir fazer o login e... Não consegui,1,2.2.0,0,,,,,,,,,
1682,2021-09-07 13:02:24,"Perdi acesso ao meu email porque não lembro qual que é, troquei o chip porque mudei de estado e não consegui recuperar minha conta consequentemente perdi a oportunidade da minha vida pra terminar o ensino médio, pois minha conta do INEP é vinculada ao do gov.br ( são a mesma ) , liguei no suporte ninguém atende, enviei e-mail ninguém responde, péssimos! até hoje estou tentando recuperar minha conta e é impossível!",1,2.2.0,0,,,,,,,,,
1683,2021-09-07 12:50:35,"Péssimo, horrível, só tem opção de recuperação facial com a CNH, se a pessoa não tem CNH.....",1,2.2.0,0,,,,,,,,,
1684,2021-09-07 02:07:21,Péssimo,1,2.2.0,0,,,,,,,,,
1685,2021-09-07 01:15:50,App não abre de jeito nenhum. Não reconhece minha foto nem eu. Tentei 50x.,1,2.2.0,0,,,,,,,,,
1686,2021-09-07 00:56:01,"O app e ruim , vc coloca o seu login de acesso e ele ainda te manda para a validação facial , e nunca que vc consegue entra no app ...",1,2.2.0,0,,,,,,,,,
1687,2021-09-06 23:48:54,Meu usuário foi bloqueado e nao consigo de forma alguma recuperar a senha. Pq nao vem as opções de número de celular ou email.. Como faco agora?,1,2.2.0,0,,,,,,,,,
1689,2021-09-06 22:54:27,"O aplicativo necessita de atualização. No momento de tirar a foto ou gravar o vídeo ele simplesmente congela e mesmo quando conseguimos fazer todo o procedimento seguindo todas as regras à risca, o resultado é inválido.",1,2.2.0,1,,,,,,,,,
1690,2021-09-06 22:45:54,"Essa verificação biometrica não funciona, já tentei umas dez vezes.",1,2.2.0,0,,,,,,,,,
1691,2021-09-06 22:33:06,devagar,1,2.2.0,0,,,,,,,,,
1693,2021-09-06 19:45:07,Não funciona,1,2.2.0,0,,,,,,,,,
1696,2021-09-06 17:03:56,"Péssimo, já tentei várias vazes, em vários lugares e da erro na verificação biométrica. Impossível utilizar.",1,2.2.0,0,,,,,,,,,
